declaration,status,claim_scope,evidence
filled_cons,full,"list-fold bookkeeping identity","Rocq kernel; Qed"
NoDup_remove_mid,full,"helper lemma for identifier uniqueness","Rocq kernel; Qed"
NoDup_app_disjoint,full,"helper lemma for identifier uniqueness","Rocq kernel; Qed"
NoDup_app_remove_l',full,"helper lemma for identifier uniqueness","Rocq kernel; Qed"
qty_of_notin_None,full,"remaining quantity lookup outside an order book","Rocq kernel; Qed"
match_step_invariant,placeholder,"no-overfill invariant for the recursive matcher","Admitted"
match_series_no_overfill,placeholder,"end-to-end no-overfill for match_series","Admitted"
match_step_contract_consistency,full,"contract preservation assuming homogeneous residual books","Rocq kernel; Qed"
match_series_contract_consistency,placeholder,"end-to-end contract consistency after filtering and sorting","Admitted"
match_step_limit_respect,placeholder,"limit-price bounds for emitted match_step trades","Admitted"
argmax_ge_best,full,"candidate-price fold never decreases the incumbent volume","Rocq kernel; Qed"
argmax_ge_elem,full,"candidate-price fold dominates every enumerated candidate","Rocq kernel; Qed"
clearing_price_maximal,full,"selected candidate price maximizes executable-volume function","Rocq kernel; Qed"
opening_auction_optimal,library_wrapper,"restatement of candidate-price maximality; no allocation construction","Rocq kernel; Qed"
list_min_le,placeholder,"minimum executable package scale is bounded by each leg scale","Admitted"
no_broken_strategy,reduced_core,"ratio preservation for executed_fill defined from one shared package scale","Rocq kernel; Qed; definitional core only"
executed_fill_no_overfill,placeholder,"per-leg execution does not exceed available liquidity","Admitted"
